オプション,説明,タイプ,デフォルト,追加されたバージョン,Iniセクション,Iniキー,環境,廃止予定,詳細廃止,代替廃止予定
ACTION_WARNINGS¶,デフォルトでは、Ansibleはタスクアクション（モジュールまたはアクションプラグイン）から受け取ったときに警告を発行します。これらの警告は、この設定をFalseに調整することで消すことができます。,boolean,True,2.5,defaults,action_warnings,ANSIBLE_ACTION_WARNINGS,None,None,None
AGNOSTIC_BECOME_PROMPT¶,指定されたコマンドラインを含むプロンプトを表示する代わりに、不可知論的なBeamプロンプトを表示する,boolean,True,2.5,privilege_escalation,agnostic_become_prompt,ANSIBLE_AGNOSTIC_BECOME_PROMPT,None,None,None
ALLOW_WORLD_READABLE_TMPFILES¶,これにより、マシン上に作成された一時ファイルは誰でも読めるようになり、タスクを失敗する代わりに警告を発します。非特権ユーザーになるときに役立ちます。,boolean,False,2.1,defaults,allow_world_readable_tmpfiles,None,None,None,None
ANSIBLE_CONNECTION_PATH¶,ansible-connectionスクリプトを探す場所を指定します。この場所は$ PATHを検索する前にチェックされます。 nullの場合、ansibleはansibleスクリプトと同じディレクトリから始まります。,path,None,2.8,persistent_connection,ansible_connection_path,ANSIBLE_CONNECTION_PATH,None,None,None
ANSIBLE_COW_PATH¶,カスタムcowsayパスを指定するか、選択したcowsay実装でスワップする,string,None,None,defaults,cowpath,ANSIBLE_COW_PATH,None,None,None
ANSIBLE_COW_SELECTION¶,これはあなたがバナーのために特定のcowsayステンシルを選ぶか、それらを循環させるために「ランダム」を使うことを可能にします。,None,default,None,defaults,cow_selection,ANSIBLE_COW_SELECTION,None,None,None
ANSIBLE_COW_WHITELIST¶,安全に使用できるコージーテンプレートのホワイトリスト。インストールされているすべてのテンプレートを有効にする場合は、空のリストに設定します。,list,"[‘bud-frogs’, ‘bunny’, ‘cheese’, ‘daemon’, ‘default’, ‘dragon’, ‘elephant-in-snake’, ‘elephant’, ‘eyes’, ‘hellokitty’, ‘kitty’, ‘luke-koala’, ‘meow’, ‘milk’, ‘moofasa’, ‘moose’, ‘ren’, ‘sheep’, ‘small’, ‘stegosaurus’, ‘stimpy’, ‘supermilker’, ‘three-eyes’, ‘turkey’, ‘turtle’, ‘tux’, ‘udder’, ‘vader-koala’, ‘vader’, ‘www’]",None,defaults,cow_whitelist,ANSIBLE_COW_WHITELIST,None,None,None
ANSIBLE_FORCE_COLOR¶,このオプションは、TTYなしで実行している場合や「nocolor」設定がTrueの場合でもカラーモードを強制します。,boolean,False,None,defaults,force_color,ANSIBLE_FORCE_COLOR,None,None,None
ANSIBLE_NOCOLOR¶,この設定により、出力の色付けを抑制することができます。これは、失敗やステータス情報をより適切に示すために使用されます。,boolean,False,None,defaults,nocolor,ANSIBLE_NOCOLOR,None,None,None
ANSIBLE_NOCOWS¶,あなたがcowsayをインストールしていても、 'cows'を避けたいのなら（なぜ????）、これを使ってください。,boolean,False,None,defaults,nocows,ANSIBLE_NOCOWS,None,None,None
ANSIBLE_PIPELINING¶,接続プラグインでサポートされている場合、パイプライン化は、実際のファイル転送なしで多数のAnsibleモジュールを実行することによって、リモートサーバー上でモジュールを実行するために必要なネットワーク操作の数を減らします。これを有効にすると、パフォーマンスが大幅に向上します。しかしこれは特権の昇格と衝突します（なります）。たとえば、「sudo：」操作を使用する場合は、最初にすべての管理対象ホストの/ etc / sudoersで「requiretty」を無効にする必要があるため、デフォルトで無効になっています。 ANSIBLE_KEEP_REMOTE_FILESが有効な場合、このオプションは無効になります。,boolean,False,None,ssh_connection,pipelining,ANSIBLE_SSH_PIPELINING,None,None,None
ANSIBLE_SSH_ARGS¶,設定すると、Ansibleのデフォルトのssh引数が上書きされます。特に、ユーザーはパフォーマンスを向上させるためにControlPersistの時間を長くしたいと思うかもしれません。 30分の値が適切かもしれません。 -o ControlPathがssh_argsに設定されている場合、制御パス設定は使用されません。,None,-C -o ControlMaster=auto -o ControlPersist=60s,None,ssh_connection,ssh_args,ANSIBLE_SSH_ARGS,None,None,None
ANSIBLE_SSH_CONTROL_PATH¶,これはsshのControlPathソケットを保存する場所です。sshの変数置換を使用します。 2.3以降、nullの場合、ansibleは一意のハッシュを生成します。制御ディレクトリパス設定を使用する場所を示すには、％（ディレクトリ）sを使用します。 2.3より前は、control_path =％（directory）s / ansible-ssh  -  %% h  -  %% p  -  %% rがデフォルトでした。 ssh引数で-o ControlPathが設定されている場合、この設定は無視されることに注意してください。,None,None,None,ssh_connection,control_path,ANSIBLE_SSH_CONTROL_PATH,None,None,None
ANSIBLE_SSH_CONTROL_PATH_DIR¶,制御パス設定がnullの場合、これはssh制御パスに使用するディレクトリを設定します。また、制御パス設定用の％（ディレクトリ）s変数を提供します。,None,~/.ansible/cp,None,ssh_connection,control_path_dir,ANSIBLE_SSH_CONTROL_PATH_DIR,None,None,None
ANSIBLE_SSH_EXECUTABLE¶,これはsshバイナリの場所を定義します。デフォルトはsshで、これは$ PATHで利用可能な最初のsshバイナリを使用します。このオプションは通常必須ではありません。システムsshへのアクセスが制限されているとき、またはsshラッパーを使用してリモートホストに接続するときに役立ちます。,None,ssh,2.2,ssh_connection,ssh_executable,ANSIBLE_SSH_EXECUTABLE,None,None,None
ANSIBLE_SSH_RETRIES¶,あきらめて、ホストを「到達不能」と報告する前に接続を確立しようとした回数,integer,0,None,ssh_connection,retries,ANSIBLE_SSH_RETRIES,None,None,None
ANY_ERRORS_FATAL¶,any_errors_fatalキーワードのデフォルト値を設定します。Trueの場合、タスクの失敗は致命的なエラーと見なされます。,boolean,False,2.4,defaults,any_errors_fatal,ANSIBLE_ANY_ERRORS_FATAL,None,None,None
BECOME_ALLOW_SAME_USER¶,この設定は、リモートユーザーとユーザーになるのが同じである場合になりますがスキップされるかどうかを制御します。ルートへのI.Eルートsudo。,boolean,False,None,privilege_escalation,become_allow_same_user,ANSIBLE_BECOME_ALLOW_SAME_USER,None,None,None
BECOME_PLUGIN_PATH¶,AnsibleがBecome Pluginsを検索する際に使用するコロン区切りのパス。,pathspec,~/.ansible/plugins/become:/usr/share/ansible/plugins/become,2.8,defaults,become_plugins,ANSIBLE_BECOME_PLUGINS,None,None,None
CACHE_PLUGIN¶,使用するキャッシュプラグインを選択します。デフォルトの「メモリ」は短命です。,None,memory,None,defaults,fact_caching,ANSIBLE_CACHE_PLUGIN,None,None,None
CACHE_PLUGIN_CONNECTION¶,キャッシュプラグインの接続またはパス情報を定義します,None,None,None,defaults,fact_caching_connection,ANSIBLE_CACHE_PLUGIN_CONNECTION,None,None,None
CACHE_PLUGIN_PREFIX¶,キャッシュプラグインファイル/テーブルに使用するプレフィックス,None,ansible_facts,None,defaults,fact_caching_prefix,ANSIBLE_CACHE_PLUGIN_PREFIX,None,None,None
CACHE_PLUGIN_TIMEOUT¶,キャッシュプラグインデータの有効期限タイムアウト,integer,86400,None,defaults,fact_caching_timeout,ANSIBLE_CACHE_PLUGIN_TIMEOUT,None,None,None
COLLECTIONS_PATHS¶,None,pathspec,~/.ansible/collections:/usr/share/ansible/collections,None,defaults,collections_paths,ANSIBLE_COLLECTIONS_PATHS,None,None,None
COLOR_CHANGED¶,「変更」タスクステータスで使用する色を定義します,None,yellow,None,colors,changed,ANSIBLE_COLOR_CHANGED,None,None,None
COLOR_CONSOLE_PROMPT¶,ansible-consoleに使用するデフォルトの色を定義します,None,white,2.7,colors,console_prompt,ANSIBLE_COLOR_CONSOLE_PROMPT,None,None,None
COLOR_DEBUG¶,デバッグメッセージを発行するときに使用する色を定義します,None,dark gray,None,colors,debug,ANSIBLE_COLOR_DEBUG,None,None,None
COLOR_DEPRECATE¶,非推奨メッセージを発行するときに使用する色を定義します,None,purple,None,colors,deprecate,ANSIBLE_COLOR_DEPRECATE,None,None,None
COLOR_DIFF_ADD¶,追加した行をdiffに表示するときに使用する色を定義します,None,green,None,colors,diff_add,ANSIBLE_COLOR_DIFF_ADD,None,None,None
COLOR_DIFF_LINES¶,差分を表示するときに使用する色を定義します,None,cyan,None,colors,diff_lines,ANSIBLE_COLOR_DIFF_LINES,None,None,None
COLOR_DIFF_REMOVE¶,差分で削除された行を表示するときに使用する色を定義します,None,red,None,colors,diff_remove,ANSIBLE_COLOR_DIFF_REMOVE,None,None,None
COLOR_ERROR¶,エラーメッセージを表示するときに使う色を定義します,None,red,None,colors,error,ANSIBLE_COLOR_ERROR,None,None,None
COLOR_HIGHLIGHT¶,強調表示に使用する色を定義します,None,white,None,colors,highlight,ANSIBLE_COLOR_HIGHLIGHT,None,None,None
COLOR_OK¶,「OK」タスクステータスを表示するときに使用する色を定義します,None,green,None,colors,ok,ANSIBLE_COLOR_OK,None,None,None
COLOR_SKIP¶,「スキップ」タスクステータスを表示するときに使用する色を定義します,None,cyan,None,colors,skip,ANSIBLE_COLOR_SKIP,None,None,None
COLOR_UNREACHABLE¶,「到達不能」ステータスで使用する色を定義します,None,bright red,None,colors,unreachable,ANSIBLE_COLOR_UNREACHABLE,None,None,None
